cuie	codigo	usuario	fecha_carga
N05186	TMI 69		
N05194	TMI 69		
N05219	TMI 69		
N05221	TMI 69		
N05254	TMI 69		
N05284	TMI 69		
N05288	TMI 69		
N05327	TMI 69		
N05363	TMI 69		
N05388	TMI 69		
N05389	TMI 69		
N05396	TMI 69		
N05409	TMI 69		
N05457	TMI 69		
N05468	TMI 69		
N10467	TMI 69		
N10488	TMI 69		
N10769	TMI 69		
N20039	TMI 69		
N20044	TMI 69		
N95757	TMI 69		
N95773	TMI 69		
N95778	TMI 69		
N05165	TMI 70		
N05183	TMI 70		
N05368	TMI 70		
N05323	RPU 85		
N05330	RPU 85		
N05372	RPU 85		
N05373	RPU 85		
N05398	RPU 85		
N05411	RPU 85		
N05415	RPU 85		
N05440	RPU 85		
N05454	RPU 85		
N10466	RPU 85		
N10499	RPU 85		
N20036	RPU 85		
N30009	RPU 85		
N30023	RPU 85		
N99931	RPU 85		
N99997	RPU 85		
N05177	RTM 11		
N05367	RTM 11		
N00299	RTM 11		
N00482	RTM 11		
N01139	RTM 11		
N03566	RTM 11		
N05192	RTM 11		
N05205	RTM 11		
N05217	RTM 11		
N05239	RTM 11		
N05256	RTM 11		
N05272	RTM 11		
N05310	RTM 11		
N05317	RTM 11		
N05319	RTM 11		
N05339	RTM 11		
N05364	RTM 11		
N05366	RTM 11		
N05391	RTM 11		
N05412	RTM 11		
N05414	RTM 11		
N05417	RTM 11		
N05448	RTM 11		
N10492	RTM 11		
N10494	RTM 11		
N20012	RTM 11		
N20015	RTM 11		
N20023	RTM 11		
N20031	RTM 11		
N30015	RTM 11		
N95753	RTM 11		
N95773	RTM 11		
N95781	RTM 11		
N00297	SIS 01		
N05194	SIS 01		
N05199	SIS 01		
N05224	SIS 01		
N05232	SIS 01		
N05257	SIS 01		
N05313	SIS 01		
N05323	SIS 01		
N05324	SIS 01		
N05329	SIS 01		
N05339	SIS 01		
N05346	SIS 01		
N05373	SIS 01		
N05415	SIS 01		
N05420	SIS 01		
N05425	SIS 01		
N05426	SIS 01		
N05441	SIS 01		
N05460	SIS 01		
N05462	SIS 01		
N10471	SIS 01		
N10490	SIS 01		
N20002	SIS 01		
N20003	SIS 01		
N20024	SIS 01		
N20026	SIS 01		
N20038	SIS 01		
N20049	SIS 01		
N20053	SIS 01		
N30011	SIS 01		
N30024	SIS 01		
N95722	SIS 01		
N95758	SIS 01		
N95788	SIS 01		
N95791	SIS 01		
N99976	SIS 01		
N03171	SIS 17		
N05179	SIS 17		
N05179	TMI 69		
N05434	TMI 69		
N00297	TMI 69		
N00329	TMI 69		
N00664	TMI 69		
N03584	TMI 69		
N03585	TMI 69		
N05202	TMI 69		
N05223	TMI 69		
N05241	TMI 69		
N05253	TMI 69		
N05258	TMI 69		
N05259	TMI 69		
N05307	TMI 69		
N05321	TMI 69		
N05339	TMI 69		
N05340	TMI 69		
N05350	TMI 69		
